"filename", "language", "Java Properties", "Batch", "Gradle", "YAML", "Markdown", "Java", "comment", "blank", "total"
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\proto\bin\RunCommand.java", "Java", 0, 0, 0, 0, 0, 51, 0, 9, 60
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\BitString.java", "Java", 0, 0, 0, 0, 0, 19, 0, 6, 25
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\Counter.java", "Java", 0, 0, 0, 0, 0, 63, 4, 15, 82
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\DoubleVar.java", "Java", 0, 0, 0, 0, 0, 15, 0, 5, 20
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\DrewMath.java", "Java", 0, 0, 0, 0, 0, 50, 0, 9, 59
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\EntityLimiter.java", "Java", 0, 0, 0, 0, 0, 296, 35, 64, 395
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\LRConfig.java", "Java", 0, 0, 0, 0, 0, 177, 0, 11, 188
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\LRTabCompleter.java", "Java", 0, 0, 0, 0, 0, 173, 5, 46, 224
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\ServerMetrics.java", "Java", 0, 0, 0, 0, 0, 100, 27, 23, 150
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\TownyIntegration.java", "Java", 0, 0, 0, 0, 0, 193, 33, 41, 267
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\VillagerOptimizer.java", "Java", 0, 0, 0, 0, 0, 211, 33, 51, 295
"e:\Dev\HBZCleaner\src\main\resources\config.yml", "YAML", 0, 0, 0, 96, 0, 0, 72, 48, 216
"e:\Dev\HBZCleaner\src\main\resources\plugin.yml", "YAML", 0, 0, 0, 77, 0, 0, 1, 3, 81
"Total", "-", 6, 41, 44, 251, 497, 3337, 291, 838, 5305
