"filename", "language", "Batch", "Java Properties", "YAML", "Markdown", "Gradle", "Java", "comment", "blank", "total"
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\proto\bin\CCEntities.java", "Java", 0, 0, 0, 0, 0, 142, 0, 13, 155
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\proto\bin\CCItems.java", "Java", 0, 0, 0, 0, 0, 93, 0, 11, 104
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\proto\bin\LRGC.java", "Java", 0, 0, 0, 0, 0, 52, 0, 9, 61
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\proto\bin\RunCommand.java", "Java", 0, 0, 0, 0, 0, 51, 0, 9, 60
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\BitString.java", "Java", 0, 0, 0, 0, 0, 19, 0, 6, 25
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\Counter.java", "Java", 0, 0, 0, 0, 0, 63, 4, 15, 82
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\DoubleVar.java", "Java", 0, 0, 0, 0, 0, 15, 0, 5, 20
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\DrewMath.java", "Java", 0, 0, 0, 0, 0, 50, 0, 9, 59
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\EntityLimiter.java", "Java", 0, 0, 0, 0, 0, 278, 29, 60, 367
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\LRConfig.java", "Java", 0, 0, 0, 0, 0, 177, 0, 11, 188
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\LRTabCompleter.java", "Java", 0, 0, 0, 0, 0, 172, 5, 45, 222
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\ServerMetrics.java", "Java", 0, 0, 0, 0, 0, 100, 27, 23, 150
"e:\Dev\HBZCleaner\src\main\java\com\seristic\hbzcleaner\util\VillagerOptimizer.java", "Java", 0, 0, 0, 0, 0, 211, 33, 51, 295
"e:\Dev\HBZCleaner\src\main\resources\config.yml", "YAML", 0, 0, 94, 0, 0, 0, 70, 47, 211
"e:\Dev\HBZCleaner\src\main\resources\plugin.yml", "YAML", 0, 0, 62, 0, 0, 0, 1, 3, 66
"Total", "-", 41, 6, 234, 226, 39, 3074, 246, 645, 4511
